time	dest	src	seqn
00:32.478	1	4	0
00:35.096	1	9	0
00:35.663	1	2	0
00:36.086	1	7	0
00:39.697	1	5	0
00:39.796	1	10	0
00:41.178	1	3	0
00:42.609	1	8	0
00:44.083	1	6	0
01:01.150	1	2	1
01:01.290	1	5	1
01:01.892	1	4	1
01:02.022	1	10	1
01:02.435	1	6	1
01:02.898	1	8	1
01:09.406	1	7	1
01:10.355	1	9	1
01:10.623	1	3	1
01:32.600	1	2	2
01:35.798	1	5	2
01:39.162	1	3	2
01:39.486	1	4	2
01:40.375	1	7	2
01:42.406	1	8	2
01:44.279	1	6	2
01:45.456	1	9	2
01:45.717	1	10	2
02:03.384	1	5	3
02:05.724	1	6	3
02:05.744	1	4	3
02:06.915	1	7	3
02:07.920	1	3	3
02:08.507	1	10	3
02:11.526	1	9	3
02:11.757	1	8	3
02:15.327	1	2	3
02:31.022	1	6	4
02:33.365	1	3	4
02:33.580	1	4	4
02:35.494	1	9	4
02:40.601	1	8	4
02:41.017	1	5	4
02:41.844	1	7	4
02:44.319	1	2	4
02:44.601	1	10	4
03:00.962	1	4	5
03:01.046	1	8	5
03:01.733	1	10	5
03:01.784	1	9	5
03:02.736	1	5	5
03:04.623	1	6	5
03:04.671	1	2	5
03:06.008	1	7	5
03:10.060	1	3	5
03:31.337	1	5	6
03:32.344	1	8	6
03:32.510	1	9	6
03:33.428	1	2	6
03:34.033	1	4	6
03:35.290	1	7	6
03:36.857	1	3	6
03:40.357	1	6	6
03:41.155	1	10	6
04:02.548	1	7	7
04:02.593	1	2	7
04:02.709	1	3	7
04:04.194	1	10	7
04:05.945	1	8	7
04:07.353	1	4	7
04:07.471	1	9	7
04:08.072	1	5	7
04:14.240	1	6	7
04:31.766	1	7	8
04:32.954	1	5	8
04:33.267	1	4	8
04:36.515	1	8	8
04:41.230	1	9	8
04:42.046	1	2	8
04:42.624	1	10	8
04:42.951	1	6	8
04:46.076	1	3	8
05:00.900	1	4	9
05:01.673	1	5	9
05:02.866	1	2	9
05:05.671	1	10	9
05:05.958	1	6	9
05:07.553	1	3	9
05:10.493	1	7	9
05:12.679	1	8	9
05:12.831	1	9	9
05:34.525	1	5	10
05:35.977	1	7	10
05:36.789	1	8	10
05:39.322	1	4	10
05:40.045	1	6	10
05:40.565	1	9	10
05:41.897	1	3	10
05:42.413	1	2	10
05:44.593	1	10	10
06:03.177	1	6	11
06:05.759	1	5	11
06:06.484	1	8	11
06:07.448	1	9	11
06:07.861	1	4	11
06:08.882	1	10	11
06:10.890	1	2	11
06:12.967	1	3	11
06:13.485	1	7	11
06:34.014	1	3	12
06:34.221	1	4	12
06:34.370	1	9	12
06:35.599	1	6	12
06:36.071	1	7	12
06:39.233	1	2	12
06:40.281	1	8	12
06:45.314	1	5	12
06:45.741	1	10	12
07:02.976	1	10	13
07:03.639	1	6	13
07:07.740	1	3	13
07:08.133	1	8	13
07:08.704	1	7	13
07:10.303	1	2	13
07:13.159	1	9	13
07:13.791	1	4	13
07:15.611	1	5	13
07:31.955	1	4	14
07:31.998	1	6	14
07:32.423	1	7	14
07:35.018	1	9	14
07:35.225	1	3	14
07:37.030	1	10	14
07:43.367	1	8	14
07:43.712	1	5	14
07:44.077	1	2	14
08:00.732	1	6	15
08:02.569	1	10	15
08:03.838	1	9	15
08:06.024	1	7	15
08:06.499	1	8	15
08:06.838	1	4	15
08:07.272	1	2	15
08:09.556	1	5	15
08:13.732	1	3	15
08:32.976	1	8	16
08:34.253	1	9	16
08:34.326	1	6	16
08:34.751	1	5	16
08:37.084	1	3	16
08:37.758	1	7	16
08:38.741	1	2	16
08:39.328	1	10	16
08:41.759	1	4	16
09:01.753	1	2	17
09:03.549	1	4	17
09:05.641	1	7	17
09:05.921	1	8	17
09:07.929	1	10	17
09:08.834	1	6	17
09:08.900	1	5	17
09:09.404	1	3	17
09:13.385	1	9	17
09:31.563	1	7	18
09:31.961	1	8	18
09:33.220	1	5	18
09:33.249	1	2	18
09:33.499	1	10	18
09:36.319	1	3	18
09:37.505	1	6	18
09:42.408	1	4	18
09:43.862	1	9	18
10:01.663	1	10	19
10:01.951	1	3	19
10:02.219	1	8	19
10:03.228	1	4	19
10:05.420	1	6	19
10:05.608	1	2	19
10:05.807	1	9	19
10:08.352	1	7	19
10:09.798	1	5	19
10:31.054	1	8	20
10:31.208	1	9	20
10:32.029	1	6	20
10:32.744	1	5	20
10:33.937	1	2	20
10:35.546	1	10	20
10:37.212	1	7	20
10:40.197	1	4	20
10:45.928	1	3	20
11:01.257	1	10	21
11:02.055	1	7	21
11:02.373	1	3	21
11:03.474	1	6	21
11:10.437	1	8	21
11:11.944	1	2	21
11:13.276	1	9	21
11:14.236	1	4	21
11:15.814	1	5	21
11:36.585	1	2	22
11:38.486	1	5	22
11:39.164	1	8	22
11:40.116	1	10	22
11:43.772	1	6	22
11:44.912	1	3	22
11:45.040	1	7	22
11:45.495	1	4	22
11:45.940	1	9	22
12:01.323	1	9	23
12:03.373	1	6	23
12:04.624	1	2	23
