time	dest	src	seqn	hops
00:34.036	1	5	0	0
00:36.411	1	8	0	3
00:38.162	1	2	0	0
00:38.661	1	10	0	1
00:40.412	1	6	0	0
00:41.786	1	9	0	2
00:44.411	1	3	0	2
00:45.036	1	7	0	0
01:01.409	1	5	1	0
01:01.661	1	10	1	1
01:04.410	1	2	1	0
01:05.037	1	7	1	0
01:05.535	1	3	1	2
01:07.535	1	9	1	2
01:08.410	1	8	1	3
01:14.412	1	6	1	0
01:33.788	1	2	2	0
01:34.162	1	5	2	0
01:34.286	1	3	2	2
01:35.287	1	6	2	0
01:37.036	1	7	2	0
01:38.411	1	10	2	1
01:39.662	1	4	2	1
02:01.162	1	6	3	0
02:01.412	1	7	3	0
02:02.037	1	9	3	2
02:02.787	1	8	3	3
02:06.035	1	4	3	1
02:10.285	1	3	3	2
02:12.037	1	5	3	0
02:13.412	1	2	3	1
02:14.785	1	10	3	1
02:31.911	1	10	4	1
02:33.786	1	4	4	1
02:34.160	1	7	4	0
02:35.162	1	3	4	2
02:36.286	1	8	4	3
02:40.036	1	5	4	0
02:40.409	1	6	4	0
03:01.161	1	4	5	1
03:07.287	1	8	5	3
03:07.661	1	2	5	0
03:08.162	1	5	5	0
03:08.662	1	3	5	2
03:09.036	1	10	5	1
03:09.161	1	7	5	0
03:14.287	1	6	5	0
03:14.911	1	9	5	2
03:34.787	1	2	6	0
03:35.286	1	5	6	0
03:35.411	1	7	6	0
03:42.161	1	9	6	2
03:44.036	1	8	6	3
03:44.661	1	10	6	1
03:45.285	1	6	6	0
03:46.410	1	3	6	2
04:02.662	1	7	7	0
04:02.912	1	9	7	2
04:03.036	1	2	7	0
04:03.909	1	5	7	0
04:04.786	1	10	7	1
04:07.162	1	4	7	1
04:07.787	1	3	7	2
04:13.036	1	6	7	0
04:13.912	1	8	7	3
04:31.787	1	5	8	0
04:33.535	1	4	8	1
04:37.785	1	8	8	3
04:38.537	1	10	8	1
04:38.785	1	7	8	0
04:40.161	1	6	8	0
04:43.161	1	9	8	2
04:44.785	1	3	8	2
05:01.161	1	4	9	1
05:03.284	1	6	9	0
05:04.660	1	5	9	0
05:06.162	1	3	9	2
05:06.536	1	2	9	0
05:07.912	1	9	9	2
05:11.535	1	8	9	3
05:14.787	1	10	9	1
05:15.409	1	7	9	0
05:35.661	1	6	10	0
05:39.036	1	10	10	1
05:40.535	1	8	10	3
05:41.535	1	9	10	2
05:43.537	1	7	10	0
