time	dest	src	seqn	hops
00:30.680	1	6	0	0
00:34.011	1	5	0	0
00:34.512	1	4	0	0
00:37.946	1	3	0	2
00:38.134	1	2	0	0
00:38.525	1	10	0	1
00:41.552	1	9	0	2
00:41.792	1	8	0	3
00:44.963	1	7	0	0
01:01.300	1	5	1	0
01:01.532	1	10	1	1
01:04.391	1	2	1	0
01:04.940	1	7	1	0
01:07.216	1	9	1	2
01:08.457	1	4	1	0
01:10.312	1	6	1	0
01:14.112	1	8	1	3
01:14.548	1	3	1	2
01:33.563	1	2	2	0
01:35.160	1	5	2	0
01:35.282	1	3	2	2
01:35.734	1	6	2	0
01:35.753	1	4	2	0
01:36.924	1	7	2	0
01:37.326	1	9	2	2
01:37.659	1	8	2	3
01:38.204	1	10	2	1
02:01.682	1	7	3	0
02:01.855	1	4	3	0
02:05.273	1	6	3	0
02:05.521	1	9	3	2
02:08.165	1	3	3	2
02:10.636	1	8	3	3
02:11.480	1	5	3	0
02:13.227	1	2	3	0
02:14.618	1	10	3	1
02:33.590	1	4	4	0
02:34.633	1	6	4	0
02:35.620	1	8	4	3
02:37.228	1	10	4	1
02:40.086	1	3	4	2
02:41.027	1	5	4	0
02:41.854	1	7	4	0
02:45.317	1	9	4	2
02:45.337	1	2	4	0
03:00.972	1	4	5	0
03:02.378	1	8	5	3
03:04.876	1	3	5	2
03:06.018	1	7	5	0
03:07.532	1	2	5	0
03:09.203	1	6	5	0
03:11.173	1	10	5	1
03:13.003	1	5	5	0
03:14.669	1	9	5	2
03:32.735	1	3	6	2
03:34.127	1	7	6	0
03:36.549	1	8	6	3
03:36.894	1	4	6	0
03:41.904	1	9	6	2
03:41.988	1	5	6	0
03:44.250	1	6	6	0
03:44.329	1	2	6	0
03:44.470	1	10	6	1
04:02.536	1	9	7	2
04:02.745	1	5	7	0
04:04.476	1	6	7	0
04:04.572	1	10	7	1
04:04.681	1	2	7	0
04:08.823	1	7	7	0
04:09.555	1	3	7	2
04:12.714	1	8	7	3
04:13.183	1	4	7	0
04:31.306	1	10	8	1
04:33.619	1	7	8	0
04:34.043	1	4	8	0
04:36.823	1	8	8	3
04:39.915	1	2	8	0
04:39.921	1	5	8	0
04:42.958	1	9	8	2
04:42.965	1	6	8	0
04:46.102	1	3	8	2
05:05.692	1	10	9	1
05:05.969	1	6	9	0
05:06.471	1	7	9	0
05:06.518	1	8	9	3
05:06.547	1	2	9	0
05:07.363	1	4	9	0
05:07.497	1	9	9	2
05:07.579	1	3	9	2
05:08.081	1	5	9	0
05:30.910	1	4	10	0
05:31.838	1	7	10	0
05:35.191	1	5	10	0
05:36.640	1	6	10	0
05:40.315	1	8	10	3
05:41.970	1	2	10	0
05:42.857	1	9	10	2
05:44.564	1	3	10	2
05:44.611	1	10	10	1
06:01.315	1	7	11	0
06:02.427	1	9	11	2
06:03.886	1	5	11	0
06:05.821	1	3	11	2
06:08.167	1	8	11	3
06:08.900	1	10	11	1
06:10.055	1	6	11	0
06:11.887	1	4	11	0
06:13.509	1	2	11	0
06:31.683	1	5	12	0
06:33.868	1	2	12	0
06:35.300	1	7	12	0
06:37.474	1	9	12	2
06:37.871	1	4	12	0
06:39.664	1	6	12	0
06:42.993	1	3	12	2
06:43.402	1	8	12	3
06:45.759	1	10	12	1
07:02.557	1	7	13	0
07:03.438	1	2	13	0
07:04.535	1	5	13	0
07:04.629	1	4	13	0
07:05.609	1	6	13	0
07:05.657	1	3	13	2
07:06.079	1	10	13	1
07:06.534	1	8	13	3
07:06.701	1	9	13	2
07:32.485	1	2	14	0
07:32.626	1	10	14	1
07:35.769	1	5	14	0
07:35.956	1	8	14	3
07:37.767	1	3	14	2
07:38.729	1	7	14	0
07:39.906	1	6	14	0
07:43.185	1	9	14	2
07:43.801	1	4	14	0
08:01.712	1	2	15	0
08:01.965	1	4	15	0
08:01.995	1	8	15	3
08:02.008	1	6	15	0
08:08.902	1	5	15	0
08:08.962	1	3	15	2
08:09.193	1	9	15	2
08:15.393	1	7	15	0
08:15.603	1	10	15	1
08:30.742	1	6	16	0
08:32.355	1	8	16	3
08:32.588	1	10	16	1
08:33.865	1	9	16	2
08:40.503	1	7	16	0
08:42.196	1	2	16	0
08:43.759	1	3	16	2
08:44.074	1	4	16	0
08:45.324	1	5	16	0
09:00.425	1	8	17	3
09:02.363	1	5	17	0
09:03.204	1	2	17	0
09:04.279	1	9	17	2
09:05.125	1	6	17	0
09:06.698	1	7	17	0
09:07.110	1	3	17	2
09:09.345	1	10	17	1
09:11.769	1	4	17	0
09:32.876	1	2	18	0
09:33.047	1	6	18	0
09:33.517	1	10	18	1
09:36.345	1	3	18	2
09:40.471	1	8	18	3
09:40.566	1	4	18	0
09:43.495	1	7	18	0
09:43.722	1	5	18	0
09:43.888	1	9	18	2
10:01.681	1	10	19	1
10:01.977	1	3	19	2
10:04.336	1	6	19	0
10:05.290	1	2	19	0
10:05.833	1	9	19	2
10:08.792	1	5	19	0
10:09.198	1	8	19	3
10:11.847	1	7	19	0
10:12.418	1	4	19	0
10:30.683	1	8	20	3
10:32.399	1	3	20	2
10:34.195	1	6	20	0
10:36.081	1	7	20	0
10:37.130	1	9	20	2
10:37.652	1	4	20	0
10:40.900	1	2	20	0
10:42.791	1	10	20	1
10:43.839	1	5	20	0
11:00.845	1	2	21	0
11:01.232	1	9	21	2
11:04.190	1	8	21	3
11:07.515	1	6	21	0
11:08.713	1	7	21	0
11:09.566	1	5	21	0
11:12.785	1	4	21	0
11:14.486	1	10	21	1
11:14.939	1	3	21	2
11:31.062	1	6	22	0
11:34.142	1	2	22	0
11:34.862	1	8	22	3
11:36.050	1	5	22	0
11:40.207	1	4	22	0
11:41.135	1	7	22	0
11:41.283	1	10	22	1
11:45.298	1	3	22	2
11:45.966	1	9	22	2
