time	dest	src	seqn	hops
00:31.419	1	4	0	2
00:31.918	1	7	0	1
00:32.668	1	2	0	1
00:35.042	1	8	0	4
00:37.419	1	10	0	2
00:39.294	1	6	0	1
00:40.169	1	3	0	3
00:43.042	1	5	0	1
00:43.917	1	9	0	3
01:01.919	1	4	1	2
01:02.668	1	9	1	3
01:02.793	1	5	1	1
01:04.791	1	2	1	1
01:07.293	1	8	1	4
01:08.794	1	7	1	1
01:15.918	1	6	1	1
01:17.168	1	10	1	2
01:20.543	1	3	1	3
01:31.168	1	4	2	2
01:35.669	1	6	2	1
01:36.167	1	7	2	1
01:36.793	1	2	2	1
01:38.168	1	5	2	1
01:38.791	1	3	2	3
01:38.918	1	10	2	2
01:39.919	1	8	2	4
01:43.542	1	9	2	3
02:00.793	1	6	3	1
02:02.294	1	8	3	4
02:03.917	1	5	3	1
02:04.542	1	7	3	1
02:08.044	1	4	3	2
02:09.793	1	3	3	3
02:11.418	1	10	3	2
02:13.918	1	9	3	3
02:16.794	1	2	3	1
02:30.917	1	8	4	4
02:32.667	1	2	4	1
02:32.793	1	7	4	1
02:33.418	1	5	4	1
02:33.669	1	4	4	2
02:37.667	1	10	4	2
02:38.918	1	6	4	1
02:43.791	1	9	4	3
02:46.417	1	3	4	3
03:02.294	1	9	5	3
03:02.919	1	2	5	1
03:03.419	1	6	5	1
03:06.168	1	7	5	1
03:09.794	1	8	5	4
03:10.169	1	10	5	2
03:12.294	1	4	5	2
03:14.292	1	3	5	3
03:15.668	1	5	5	1
03:33.793	1	7	6	1
03:34.417	1	3	6	3
03:37.292	1	8	6	4
03:40.919	1	2	6	1
03:42.669	1	4	6	2
03:43.294	1	6	6	1
03:43.792	1	5	6	1
03:45.919	1	10	6	2
03:46.544	1	9	6	3
04:01.418	1	4	7	2
04:01.917	1	6	7	1
04:03.669	1	9	7	3
04:04.792	1	8	7	4
04:05.292	1	10	7	2
04:10.791	1	7	7	1
04:12.044	1	2	7	1
04:12.919	1	3	7	3
04:13.918	1	5	7	1
04:31.169	1	7	8	1
04:32.169	1	3	8	3
04:39.418	1	6	8	1
04:40.792	1	4	8	2
04:41.043	1	2	8	1
04:42.668	1	5	8	1
04:46.168	1	10	8	2
04:46.669	1	9	8	3
04:46.791	1	8	8	4
05:02.543	1	6	9	1
05:03.418	1	8	9	4
05:06.417	1	3	9	3
05:06.667	1	7	9	1
05:07.419	1	2	9	1
05:09.043	1	10	9	2
05:10.294	1	9	9	3
05:13.293	1	5	9	1
05:14.919	1	4	9	2
05:31.919	1	8	10	4
05:34.291	1	6	10	1
05:38.418	1	7	10	1
05:38.542	1	5	10	1
05:39.544	1	2	10	1
