time	dest	src	seqn
00:30.969	1	4	0
00:31.053	1	8	0
00:31.281	1	7	0
00:32.607	1	2	0
00:37.217	1	10	0
00:39.200	1	6	0
00:39.536	1	3	0
00:43.001	1	5	0
00:43.494	1	9	0
01:01.688	1	4	1
01:02.408	1	9	1
01:02.743	1	5	1
01:04.678	1	2	1
01:06.796	1	8	1
01:08.726	1	7	1
01:08.889	1	10	1
01:11.904	1	3	1
01:12.958	1	6	1
01:30.907	1	4	2
01:35.606	1	6	2
01:36.078	1	7	2
01:36.506	1	8	2
01:36.545	1	2	2
01:37.747	1	3	2
01:38.057	1	10	2
01:38.079	1	5	2
01:43.166	1	9	2
02:00.739	1	6	3
02:01.968	1	8	3
02:03.883	1	5	3
02:04.453	1	7	3
02:07.868	1	4	3
02:09.411	1	3	3
02:11.271	1	10	3
02:13.392	1	9	3
02:13.506	1	2	3
02:30.397	1	8	4
02:31.962	1	4	4
02:32.482	1	2	4
02:32.734	1	7	4
02:33.352	1	5	4
02:37.427	1	10	4
02:38.840	1	6	4
02:43.283	1	9	4
02:45.935	1	3	4
03:02.056	1	9	5
03:02.873	1	2	5
03:03.380	1	6	5
03:06.109	1	7	5
03:09.171	1	8	5
03:09.376	1	5	5
03:09.740	1	10	5
03:11.766	1	4	5
03:13.677	1	3	5
03:33.663	1	7	6
03:33.848	1	3	6
03:36.749	1	8	6
03:40.897	1	2	6
03:42.415	1	4	6
03:43.224	1	6	6
03:43.719	1	5	6
03:45.686	1	10	6
03:45.720	1	9	6
04:01.259	1	4	7
04:01.802	1	6	7
04:03.158	1	9	7
04:04.343	1	8	7
04:05.021	1	10	7
04:10.718	1	7	7
04:11.881	1	2	7
04:12.122	1	3	7
04:13.836	1	5	7
04:31.094	1	7	8
04:31.614	1	3	8
04:38.907	1	5	8
04:38.960	1	10	8
04:39.396	1	6	8
04:40.603	1	4	8
04:40.975	1	2	8
04:42.432	1	9	8
04:44.272	1	8	8
05:02.489	1	6	9
05:02.890	1	8	9
05:05.833	1	3	9
05:06.609	1	7	9
05:07.279	1	2	9
05:08.896	1	10	9
05:09.619	1	9	9
05:09.774	1	5	9
05:14.719	1	4	9
05:31.124	1	8	10
05:31.262	1	6	10
05:38.391	1	7	10
05:38.493	1	5	10
05:39.428	1	2	10
05:39.654	1	3	10
05:43.436	1	10	10
05:45.438	1	4	10
05:45.862	1	9	10
06:03.718	1	8	11
06:03.856	1	9	11
06:05.770	1	3	11
06:06.295	1	2	11
06:06.601	1	7	11
06:06.829	1	5	11
06:10.657	1	4	11
06:10.771	1	10	11
06:13.700	1	6	11
06:32.633	1	5	12
06:32.881	1	10	12
06:35.147	1	8	12
06:35.616	1	2	12
06:36.150	1	9	12
06:37.669	1	6	12
06:43.476	1	7	12
06:43.618	1	4	12
06:45.489	1	3	12
07:00.998	1	10	13
07:02.712	1	4	13
07:06.017	1	9	13
07:09.137	1	6	13
07:11.430	1	5	13
07:11.459	1	2	13
07:12.161	1	3	13
07:12.516	1	7	13
07:14.194	1	8	13
07:31.186	1	10	14
07:34.405	1	8	14
07:37.890	1	7	14
07:40.161	1	6	14
07:40.685	1	3	14
07:40.821	1	4	14
07:43.737	1	9	14
07:44.037	1	2	14
07:45.649	1	5	14
08:03.266	1	7	15
08:05.990	1	2	15
08:08.182	1	9	15
08:09.110	1	5	15
08:09.514	1	10	15
08:09.669	1	3	15
08:10.585	1	8	15
08:11.505	1	6	15
08:12.165	1	4	15
08:32.400	1	4	16
08:34.673	1	9	16
08:34.834	1	2	16
08:36.131	1	8	16
08:38.544	1	6	16
08:41.162	1	10	16
08:41.645	1	3	16
08:45.586	1	5	16
08:45.641	1	7	16
09:02.178	1	2	17
09:02.452	1	8	17
09:07.216	1	3	17
09:07.252	1	4	17
09:09.820	1	7	17
09:10.012	1	6	17
09:12.369	1	9	17
09:12.617	1	10	17
09:14.798	1	5	17
09:32.279	1	6	18
09:33.037	1	10	18
09:33.045	1	2	18
09:35.977	1	5	18
09:36.069	1	8	18
09:37.087	1	4	18
09:42.060	1	3	18
09:42.783	1	9	18
09:43.984	1	7	18
10:02.367	1	7	19
10:05.991	1	8	19
10:06.197	1	4	19
10:07.524	1	5	19
10:10.557	1	9	19
10:13.724	1	6	19
10:14.006	1	2	19
10:15.303	1	3	19
10:15.780	1	10	19
10:30.640	1	8	20
10:31.744	1	9	20
10:32.138	1	3	20
10:32.216	1	6	20
10:35.540	1	4	20
10:39.960	1	10	20
10:42.366	1	2	20
10:42.485	1	5	20
10:44.914	1	7	20
11:00.726	1	8	21
11:05.856	1	6	21
11:05.982	1	2	21
11:06.461	1	5	21
11:11.969	1	7	21
11:13.155	1	10	21
11:13.487	1	9	21
11:14.239	1	3	21
11:15.384	1	4	21
11:31.694	1	2	22
11:32.342	1	10	22
11:32.562	1	8	22
11:34.325	1	6	22
11:35.578	1	7	22
11:35.826	1	3	22
11:40.173	1	5	22
11:40.932	1	9	22
11:42.368	1	4	22
12:07.177	1	3	23
12:09.294	1	6	23
12:09.859	1	7	23
12:11.298	1	4	23
12:12.155	1	8	23
12:12.559	1	10	23
12:13.787	1	2	23
12:14.095	1	9	23
12:14.266	1	5	23
12:33.395	1	3	24
12:37.976	1	7	24
12:38.064	1	9	24
12:39.240	1	10	24
12:39.249	1	8	24
12:42.571	1	4	24
12:43.876	1	5	24
12:44.762	1	6	24
12:45.397	1	2	24
13:02.063	1	4	25
13:06.843	1	8	25
13:07.307	1	9	25
13:10.382	1	7	25
13:12.219	1	5	25
13:12.286	1	6	25
13:12.389	1	10	25
13:13.639	1	2	25
13:16.114	1	3	25
13:31.076	1	10	26
13:31.786	1	3	26
13:33.517	1	9	26
13:35.247	1	6	26
13:36.772	1	8	26
13:37.475	1	2	26
13:41.282	1	4	26
13:44.336	1	5	26
13:45.312	1	7	26
14:00.974	1	10	27
14:03.576	1	2	27
14:03.755	1	3	27
14:05.958	1	6	27
14:07.838	1	9	27
14:11.672	1	7	27
14:12.819	1	8	27
14:13.002	1	4	27
14:13.258	1	5	27
14:31.162	1	2	28
14:31.530	1	8	28
14:31.946	1	4	28
14:36.709	1	10	28
14:38.184	1	6	28
14:38.641	1	5	28
14:39.053	1	3	28
14:39.062	1	7	28
14:43.166	1	9	28
