time	dest	src	seqn	hops
00:31.292	1	7	0	1
00:32.547	1	9	0	3
00:35.282	1	6	0	1
00:37.238	1	10	0	2
00:39.566	1	3	0	3
00:40.648	1	8	0	4
00:42.708	1	4	0	1
00:43.012	1	5	0	1
00:43.236	1	2	0	1
01:02.754	1	5	1	1
01:03.628	1	7	1	1
01:05.698	1	10	1	2
01:06.535	1	3	1	3
01:06.835	1	8	1	4
01:10.376	1	6	1	1
01:12.868	1	9	1	3
01:13.192	1	4	1	1
01:14.337	1	2	1	1
01:33.003	1	10	2	2
01:33.286	1	4	2	1
01:35.308	1	7	2	1
01:36.556	1	2	2	1
01:38.090	1	5	2	1
01:38.179	1	8	2	4
01:43.003	1	3	2	3
01:43.196	1	9	2	3
01:45.180	1	6	2	1
02:03.894	1	5	3	1
02:04.289	1	9	3	3
02:06.649	1	6	3	1
02:06.706	1	7	3	1
02:07.777	1	3	3	3
02:09.355	1	10	3	2
02:11.895	1	4	3	1
02:13.413	1	8	3	4
02:13.518	1	2	3	1
02:31.285	1	10	4	2
02:32.007	1	8	4	4
02:32.611	1	2	4	1
02:32.883	1	9	4	3
02:33.363	1	5	4	1
02:39.914	1	6	4	1
02:43.683	1	7	4	1
02:43.769	1	3	4	3
02:43.809	1	4	4	1
03:00.750	1	6	5	1
03:01.359	1	9	5	3
03:01.720	1	2	5	1
03:06.355	1	3	5	3
03:07.987	1	10	5	2
03:08.370	1	7	5	1
03:09.387	1	5	5	1
03:10.483	1	8	5	4
03:14.083	1	4	5	1
03:31.571	1	9	6	3
03:32.073	1	7	6	1
03:32.371	1	5	6	1
03:32.410	1	3	6	3
03:33.212	1	2	6	1
03:34.065	1	10	6	2
03:34.344	1	6	6	1
03:42.426	1	4	6	1
03:44.405	1	8	6	4
04:05.298	1	2	7	1
04:06.788	1	8	7	4
04:07.523	1	6	7	1
04:07.661	1	4	7	1
04:08.801	1	5	7	1
04:09.519	1	10	7	2
04:11.534	1	7	7	1
04:13.707	1	3	7	3
04:14.665	1	9	7	3
04:32.048	1	6	8	1
04:34.382	1	8	8	4
04:34.769	1	5	8	1
04:36.043	1	3	8	3
04:38.449	1	7	8	1
04:41.892	1	2	8	1
04:44.104	1	10	8	2
04:44.255	1	4	8	1
04:45.719	1	9	8	3
05:01.684	1	4	9	1
05:06.476	1	8	9	4
05:08.352	1	9	9	3
05:08.918	1	5	9	1
05:10.322	1	2	9	1
05:11.245	1	10	9	2
05:12.637	1	3	9	3
05:13.789	1	6	9	1
05:15.527	1	7	9	1
05:33.496	1	3	10	3
05:38.126	1	6	10	1
05:39.785	1	5	10	1
05:39.800	1	7	10	1
05:41.585	1	8	10	4
05:42.261	1	10	10	2
05:44.096	1	2	10	1
05:44.731	1	4	10	1
05:44.953	1	9	10	3
06:03.152	1	10	11	2
06:03.580	1	2	11	1
06:04.237	1	7	11	1
06:04.930	1	6	11	1
06:07.077	1	8	11	4
06:08.340	1	3	11	3
06:09.040	1	9	11	3
06:15.450	1	4	11	1
06:15.747	1	5	11	1
06:35.749	1	8	12	4
06:36.634	1	9	12	3
06:36.840	1	5	12	1
06:37.727	1	6	12	1
06:38.759	1	2	12	1
06:38.917	1	10	12	2
06:39.684	1	3	12	3
06:40.355	1	7	12	1
06:40.669	1	4	12	1
07:01.558	1	10	13	2
07:04.728	1	2	13	1
07:06.387	1	4	13	1
07:12.527	1	3	13	3
07:12.773	1	8	13	4
07:13.941	1	7	13	1
07:13.954	1	5	13	1
07:14.110	1	9	13	3
