time	dest	src	seqn
00:31.280	1	7	0
00:32.516	1	9	0
00:35.270	1	6	0
00:37.216	1	10	0
00:39.535	1	3	0
00:40.607	1	8	0
00:42.695	1	4	0
00:43.000	1	5	0
00:43.224	1	2	0
01:02.741	1	5	1
01:03.616	1	7	1
01:05.677	1	10	1
01:06.504	1	3	1
01:06.795	1	8	1
01:10.363	1	6	1
01:12.837	1	9	1
01:13.180	1	4	1
01:14.325	1	2	1
01:32.982	1	10	2
01:33.274	1	4	2
01:35.296	1	7	2
01:36.544	1	2	2
01:38.078	1	5	2
01:38.139	1	8	2
01:42.973	1	3	2
01:43.165	1	9	2
01:45.168	1	6	2
02:03.882	1	5	3
02:04.259	1	9	3
02:06.636	1	6	3
02:06.694	1	7	3
02:07.746	1	3	3
02:09.333	1	10	3
02:11.883	1	4	3
02:13.373	1	8	3
02:13.505	1	2	3
02:31.263	1	10	4
02:31.967	1	8	4
02:32.599	1	2	4
02:32.852	1	9	4
02:33.351	1	5	4
02:39.902	1	6	4
02:43.671	1	7	4
02:43.738	1	3	4
02:43.797	1	4	4
03:00.738	1	6	5
03:01.329	1	9	5
03:01.708	1	2	5
03:06.325	1	3	5
03:07.966	1	10	5
03:08.358	1	7	5
03:09.375	1	5	5
03:10.443	1	8	5
03:14.070	1	4	5
03:31.540	1	9	6
03:32.061	1	7	6
03:32.359	1	5	6
03:32.379	1	3	6
03:33.200	1	2	6
03:34.044	1	10	6
03:34.332	1	6	6
03:42.414	1	4	6
03:44.365	1	8	6
04:05.286	1	2	7
04:06.748	1	8	7
04:07.511	1	6	7
04:07.648	1	4	7
04:08.788	1	5	7
04:09.497	1	10	7
04:11.522	1	7	7
04:13.676	1	3	7
04:14.634	1	9	7
04:32.035	1	6	8
04:34.342	1	8	8
04:34.757	1	5	8
04:36.012	1	3	8
04:38.436	1	7	8
04:41.880	1	2	8
04:44.083	1	10	8
04:44.242	1	4	8
04:45.688	1	9	8
05:01.672	1	4	9
05:06.435	1	8	9
05:08.321	1	9	9
05:08.906	1	5	9
05:10.309	1	2	9
05:11.223	1	10	9
05:12.606	1	3	9
05:13.777	1	6	9
05:15.514	1	7	9
05:33.465	1	3	10
05:38.113	1	6	10
05:39.773	1	5	10
05:39.788	1	7	10
05:41.545	1	8	10
05:42.239	1	10	10
05:44.083	1	2	10
05:44.719	1	4	10
05:44.922	1	9	10
06:03.130	1	10	11
06:03.568	1	2	11
06:04.225	1	7	11
06:04.918	1	6	11
06:07.037	1	8	11
06:08.309	1	3	11
06:09.009	1	9	11
06:15.437	1	4	11
06:15.734	1	5	11
06:35.709	1	8	12
06:36.602	1	9	12
06:36.828	1	5	12
06:37.715	1	6	12
06:38.747	1	2	12
06:38.895	1	10	12
06:39.653	1	3	12
06:40.343	1	7	12
06:40.656	1	4	12
07:01.536	1	10	13
07:04.716	1	2	13
07:06.375	1	4	13
07:12.497	1	3	13
07:12.733	1	8	13
07:13.928	1	7	13
07:13.937	1	5	13
07:14.079	1	9	13
07:14.933	1	6	13
07:31.974	1	8	14
07:32.711	1	4	14
07:35.052	1	10	14
07:35.615	1	2	14
07:37.290	1	9	14
07:39.395	1	6	14
07:41.429	1	5	14
07:43.069	1	7	14
07:43.981	1	3	14
08:03.075	1	3	15
08:06.016	1	9	15
08:09.622	1	10	15
08:10.754	1	6	15
08:10.821	1	4	15
08:12.231	1	2	15
08:13.811	1	8	15
08:14.506	1	7	15
08:15.648	1	5	15
08:40.684	1	3	16
08:41.469	1	5	16
08:41.741	1	7	16
08:42.164	1	4	16
08:43.735	1	9	16
08:43.871	1	6	16
08:44.115	1	8	16
08:44.451	1	10	16
08:45.153	1	2	16
09:04.849	1	10	17
09:06.876	1	9	17
09:07.622	1	2	17
09:07.921	1	7	17
09:08.028	1	3	17
09:10.082	1	6	17
09:10.584	1	8	17
09:11.531	1	4	17
09:15.585	1	5	17
09:31.261	1	6	18
09:31.819	1	7	18
09:33.344	1	9	18
09:36.130	1	8	18
09:40.304	1	5	18
09:40.646	1	2	18
09:41.232	1	10	18
09:41.953	1	4	18
09:42.872	1	3	18
10:01.185	1	10	19
10:05.976	1	5	19
10:05.990	1	2	19
10:07.834	1	7	19
10:09.313	1	9	19
10:09.352	1	4	19
10:10.363	1	3	19
10:11.092	1	8	19
10:14.230	1	6	19
10:33.021	1	8	20
10:37.106	1	2	20
10:38.390	1	7	20
10:39.582	1	3	20
10:40.469	1	4	20
10:42.500	1	5	20
10:42.782	1	9	20
10:43.699	1	6	20
10:45.520	1	10	20
11:02.751	1	9	21
11:03.825	1	2	21
11:04.295	1	8	21
11:06.163	1	7	21
11:09.973	1	6	21
11:10.216	1	10	21
11:13.242	1	5	21
11:13.680	1	4	21
11:16.004	1	3	21
11:31.294	1	10	22
11:32.787	1	8	22
11:35.539	1	4	22
11:36.465	1	6	22
11:40.403	1	3	22
11:42.497	1	2	22
11:43.030	1	7	22
11:43.219	1	9	22
11:43.578	1	5	22
12:01.382	1	5	23
12:01.743	1	9	23
12:04.005	1	8	23
12:06.021	1	2	23
12:06.520	1	3	23
12:07.358	1	7	23
12:09.136	1	6	23
12:11.747	1	10	23
12:15.383	1	4	23
12:30.724	1	8	24
12:32.006	1	7	24
12:34.441	1	3	24
12:36.145	1	6	24
12:38.935	1	10	24
12:42.367	1	4	24
12:44.005	1	2	24
12:44.265	1	5	24
12:45.657	1	9	24
13:02.561	1	8	25
13:08.522	1	7	25
13:10.099	1	2	25
13:10.931	1	9	25
13:11.297	1	4	25
13:12.910	1	3	25
13:13.574	1	6	25
13:13.875	1	5	25
13:15.779	1	10	25
13:32.621	1	6	26
13:36.422	1	9	26
13:40.117	1	5	26
13:40.357	1	10	26
13:41.827	1	7	26
13:42.154	1	8	26
13:42.434	1	3	26
13:42.570	1	4	26
13:42.903	1	2	26
14:02.062	1	4	27
14:02.953	1	5	27
14:03.118	1	9	27
14:06.340	1	6	27
14:07.176	1	3	27
14:12.515	1	7	27
14:13.380	1	10	27
14:14.334	1	8	27
14:14.552	1	2	27
14:30.926	1	6	28
14:33.395	1	3	28
14:34.880	1	8	28
14:35.968	1	7	28
14:37.919	1	2	28
14:41.281	1	4	28
14:42.145	1	10	28
14:43.360	1	9	28
14:44.547	1	5	28
15:03.380	1	2	29
15:03.520	1	6	29
