time	dest	src	seqn	hops
01:01.150	1	2	1	0
01:01.300	1	5	1	0
01:01.902	1	4	1	0
01:02.041	1	10	1	1
01:02.445	1	6	1	0
01:02.933	1	8	1	3
01:10.380	1	9	1	2
01:10.649	1	3	1	2
01:12.331	1	7	1	0
01:34.493	1	2	2	0
01:35.808	1	5	2	0
01:36.026	1	8	2	3
01:39.496	1	4	2	0
01:40.385	1	7	2	0
01:41.384	1	10	2	1
01:44.118	1	3	2	2
01:44.289	1	6	2	0
01:45.599	1	9	2	2
02:01.682	1	7	3	0
02:03.563	1	2	3	0
02:05.282	1	3	3	2
02:05.734	1	6	3	0
02:05.753	1	4	3	0
02:07.326	1	9	3	2
02:07.659	1	8	3	3
02:08.204	1	10	3	1
02:11.480	1	5	3	0
02:31.031	1	6	4	0
02:31.081	1	8	4	3
02:31.284	1	7	4	0
02:31.751	1	10	4	1
02:31.810	1	9	4	2
02:32.610	1	2	4	0
02:32.925	1	4	4	0
02:33.391	1	3	4	2
02:33.398	1	5	4	0
03:03.590	1	4	5	0
03:04.633	1	6	5	0
03:05.620	1	8	5	3
03:06.018	1	7	5	0
03:07.228	1	10	5	1
03:10.086	1	3	5	2
03:13.003	1	5	5	0
03:15.317	1	9	5	2
03:15.337	1	2	5	0
03:34.212	1	10	6	1
03:34.448	1	5	6	0
03:35.980	1	8	6	3
03:36.883	1	3	6	2
03:40.367	1	6	6	0
03:42.699	1	4	6	0
03:42.989	1	9	6	2
03:44.821	1	2	6	0
03:44.901	1	7	6	0
04:02.735	1	3	7	2
04:02.745	1	5	7	0
04:06.549	1	8	7	3
04:06.894	1	4	7	0
04:08.823	1	7	7	0
04:11.904	1	9	7	2
04:14.250	1	6	7	0
04:14.329	1	2	7	0
04:14.470	1	10	7	1
04:31.347	1	5	8	0
04:31.691	1	4	8	0
04:32.970	1	3	8	2
04:33.001	1	2	8	0
04:42.642	1	10	8	1
04:43.513	1	9	8	2
04:43.596	1	8	8	3
04:44.612	1	7	8	0
04:45.171	1	6	8	0
05:01.306	1	10	9	1
05:04.043	1	4	9	0
05:06.471	1	7	9	0
05:06.823	1	8	9	3
05:08.081	1	5	9	0
05:09.915	1	2	9	0
05:12.958	1	9	9	2
05:12.965	1	6	9	0
05:16.102	1	3	9	2
05:32.964	1	5	10	0
05:33.277	1	4	10	0
05:36.524	1	3	10	2
05:36.531	1	2	10	0
05:38.416	1	10	10	1
05:41.255	1	9	10	2
05:41.308	1	8	10	3
05:44.292	1	7	10	0
05:44.820	1	6	10	0
06:00.910	1	4	11	0
06:01.838	1	7	11	0
06:03.886	1	5	11	0
06:06.640	1	6	11	0
06:08.900	1	10	11	1
06:10.315	1	8	11	3
06:12.857	1	9	11	2
06:13.509	1	2	11	0
06:14.564	1	3	11	2
06:31.315	1	7	12	0
06:33.187	1	6	12	0
06:33.868	1	2	12	0
06:37.675	1	5	12	0
06:38.408	1	10	12	1
06:39.332	1	4	12	0
06:40.591	1	9	12	2
06:41.923	1	3	12	2
06:43.987	1	8	12	3
07:03.438	1	2	13	0
07:04.535	1	5	13	0
07:05.300	1	7	13	0
07:07.474	1	9	13	2
07:07.871	1	4	13	0
07:09.664	1	6	13	0
07:12.993	1	3	13	2
07:13.401	1	8	13	3
07:15.759	1	10	13	1
07:32.485	1	2	14	0
07:32.557	1	7	14	0
07:33.355	1	5	14	0
07:33.649	1	6	14	0
07:34.040	1	3	14	2
07:34.231	1	4	14	0
07:34.396	1	9	14	2
08:01.712	1	2	15	0
08:02.635	1	10	15	1
08:05.956	1	8	15	3
08:07.767	1	3	15	2
08:08.729	1	7	15	0
08:08.902	1	5	15	0
08:09.906	1	6	15	0
08:13.185	1	9	15	2
08:13.801	1	4	15	0
08:32.253	1	8	16	3
08:35.045	1	9	16	2
08:35.251	1	3	16	2
08:36.847	1	4	16	0
08:37.048	1	10	16	1
08:39.379	1	5	16	0
08:41.078	1	6	16	0
08:42.196	1	2	16	0
08:45.393	1	7	16	0
09:00.742	1	6	17	0
09:02.355	1	8	17	3
09:02.363	1	5	17	0
