time	dest	src	seqn
00:32.477	1	4	0
00:35.095	1	9	0
00:35.662	1	2	0
00:36.085	1	7	0
00:39.696	1	5	0
00:39.795	1	10	0
00:41.177	1	3	0
00:42.608	1	8	0
00:44.083	1	6	0
01:01.139	1	2	1
01:01.289	1	5	1
01:01.891	1	4	1
01:02.022	1	10	1
01:02.434	1	6	1
01:02.897	1	8	1
01:10.353	1	9	1
01:10.622	1	3	1
01:12.320	1	7	1
01:34.482	1	2	2
01:35.797	1	5	2
01:35.991	1	8	2
01:39.485	1	4	2
01:40.374	1	7	2
01:41.365	1	10	2
01:44.091	1	3	2
01:44.278	1	6	2
01:45.572	1	9	2
02:01.671	1	7	3
02:03.552	1	2	3
02:05.255	1	3	3
02:05.723	1	6	3
02:05.743	1	4	3
02:07.298	1	9	3
02:07.623	1	8	3
02:08.185	1	10	3
02:11.469	1	5	3
02:31.020	1	6	4
02:31.045	1	8	4
02:31.273	1	7	4
02:31.732	1	10	4
02:31.783	1	9	4
02:32.599	1	2	4
02:32.915	1	4	4
02:33.364	1	3	4
02:33.383	1	5	4
03:03.579	1	4	5
03:04.622	1	6	5
03:05.585	1	8	5
03:06.007	1	7	5
03:07.209	1	10	5
03:10.059	1	3	5
03:12.993	1	5	5
03:15.290	1	9	5
03:15.326	1	2	5
03:34.193	1	10	6
03:34.438	1	5	6
03:35.944	1	8	6
03:36.856	1	3	6
03:40.356	1	6	6
03:42.688	1	4	6
03:42.962	1	9	6
03:44.810	1	2	6
03:44.890	1	7	6
04:02.708	1	3	7
04:02.734	1	5	7
04:06.514	1	8	7
04:06.883	1	4	7
04:08.812	1	7	7
04:11.877	1	9	7
04:14.239	1	6	7
04:14.318	1	2	7
04:14.451	1	10	7
04:31.336	1	5	8
04:31.680	1	4	8
04:32.942	1	3	8
04:32.990	1	2	8
04:42.623	1	10	8
04:43.486	1	9	8
04:43.561	1	8	8
04:44.601	1	7	8
04:45.161	1	6	8
05:01.287	1	10	9
05:04.032	1	4	9
05:06.460	1	7	9
05:06.788	1	8	9
05:08.071	1	5	9
05:09.904	1	2	9
05:12.931	1	9	9
05:12.950	1	6	9
05:16.075	1	3	9
05:32.953	1	5	10
05:33.267	1	4	10
05:36.497	1	3	10
05:36.514	1	2	10
05:38.397	1	10	10
05:41.228	1	9	10
05:41.272	1	8	10
05:44.281	1	7	10
05:44.810	1	6	10
06:00.899	1	4	11
06:01.828	1	7	11
06:03.875	1	5	11
06:06.630	1	6	11
06:08.881	1	10	11
06:10.280	1	8	11
06:12.830	1	9	11
06:13.498	1	2	11
06:14.536	1	3	11
06:31.304	1	7	12
06:33.176	1	6	12
06:33.857	1	2	12
06:37.665	1	5	12
06:38.388	1	10	12
06:39.321	1	4	12
06:40.564	1	9	12
06:41.896	1	3	12
06:43.952	1	8	12
07:03.428	1	2	13
07:04.524	1	5	13
07:05.289	1	7	13
07:07.447	1	9	13
07:07.860	1	4	13
07:09.653	1	6	13
07:12.966	1	3	13
07:13.366	1	8	13
07:15.740	1	10	13
07:32.474	1	2	14
07:32.546	1	7	14
07:32.975	1	10	14
07:32.975	1	8	14
07:33.344	1	5	14
07:33.638	1	6	14
07:34.013	1	3	14
