time	dest	src	seqn	hops
01:01.287	1	2	1	0
01:01.409	1	5	1	0
01:02.160	1	4	1	1
01:02.537	1	6	1	0
01:09.537	1	7	1	0
01:32.662	1	2	2	0
01:35.912	1	5	2	0
01:39.662	1	4	2	1
01:40.411	1	7	2	0
01:44.412	1	6	2	0
02:03.412	1	5	3	0
02:05.786	1	6	3	0
02:06.036	1	4	3	1
02:07.036	1	7	3	0
02:08.162	1	3	3	2
02:08.661	1	10	3	1
02:11.911	1	9	3	2
02:12.660	1	8	3	3
02:15.410	1	2	3	0
02:31.162	1	6	4	0
02:34.413	1	3	4	2
02:34.661	1	4	4	1
02:35.786	1	9	4	2
02:41.037	1	8	4	3
02:41.160	1	5	4	0
02:41.910	1	7	4	0
02:44.412	1	2	4	0
02:44.785	1	10	4	1
03:02.412	1	10	5	1
03:04.035	1	9	5	2
03:04.661	1	6	5	0
03:04.787	1	2	5	0
03:06.034	1	7	5	0
03:10.287	1	3	5	2
03:31.411	1	5	6	0
03:32.661	1	8	6	3
03:33.162	1	9	6	2
03:33.535	1	2	6	0
03:34.287	1	4	6	1
03:35.411	1	7	6	0
03:37.160	1	3	6	2
03:40.409	1	6	6	0
03:41.285	1	10	6	1
04:02.662	1	7	7	0
04:02.910	1	2	7	0
04:03.409	1	3	7	2
04:04.412	1	10	7	1
04:06.285	1	8	7	3
04:08.037	1	4	7	1
04:08.660	1	5	7	0
04:14.287	1	6	7	0
04:31.787	1	7	8	0
04:33.038	1	5	8	0
04:33.535	1	4	8	1
04:36.787	1	8	8	3
04:41.535	1	9	8	2
04:42.162	1	2	8	0
04:42.787	1	10	8	1
04:43.036	1	6	8	0
04:46.410	1	3	8	2
05:01.161	1	4	9	1
05:01.912	1	5	9	0
05:02.911	1	2	9	0
05:06.035	1	10	9	1
05:06.162	1	6	9	0
05:07.787	1	3	9	2
05:10.535	1	7	9	0
05:13.287	1	8	9	3
05:13.536	1	9	9	4
05:34.661	1	5	10	0
05:36.037	1	7	10	0
05:37.161	1	8	10	3
05:39.536	1	4	10	1
05:40.161	1	6	10	0
05:40.910	1	9	10	4
05:42.162	1	3	10	2
05:42.537	1	2	10	0
05:44.787	1	10	10	1
06:03.287	1	6	11	0
06:05.785	1	5	11	0
06:06.787	1	8	11	3
06:07.787	1	9	11	2
06:08.037	1	4	11	1
06:09.036	1	10	11	1
06:10.911	1	2	11	0
06:13.287	1	3	11	2
06:13.537	1	7	11	0
06:35.536	1	9	12	2
06:35.661	1	6	12	0
06:36.161	1	7	12	0
06:39.286	1	2	12	0
06:40.536	1	8	12	3
06:45.412	1	5	12	0
06:45.912	1	10	12	1
07:03.161	1	10	13	1
07:03.662	1	6	13	0
07:08.786	1	3	13	4
07:08.910	1	8	13	3
07:08.918	1	7	13	0
07:10.411	1	2	13	0
07:13.412	1	9	13	2
07:14.035	1	4	13	1
07:15.661	1	5	13	0
07:32.161	1	6	14	0
07:32.286	1	4	14	1
07:32.537	1	7	14	0
07:36.160	1	9	14	2
07:36.411	1	3	14	4
07:37.163	1	10	14	1
